Product ID,Variety Name,Country,Shape of tuber,Colour of skin,Colour of flesh,Depth of eyes,Smoothness of skin,Colour of base of lightsprout,Maturity,Height of plants,Frequency of berries
257,Royal Kidney,-,Oval - long,White,Cream,Shallow,Medium,Pink,Early to intermediate,Medium,Absent
258,Rubesse,UNITED KINGDOM,Oval - long,Red,Cream,Shallow - medium,Smooth,Pink,Intermediate,Medium - tall,-
259,Rudolph,UNITED KINGDOM,-,Red,-,-,-,Pink,Early Maincrop,Medium - tall,Medium
260,Russet Burbank,UNITED STATES,Long,Cream,White,Deep,Medium,Pink,Intermediate,Tall,Absent
261,Safari,-,Short - oval,Yellow,Light yellow,Very shallow - shallow,Medium,-,Maincrop,Medium,Medium
262,Safiyah,UNITED KINGDOM,Oval,White,Light yellow,Shallow,-,Pink,Early to intermediate,Short - medium,Few
263,Sagitta,NETHERLANDS,-,-,-,-,-,-,-,-,-
264,Sandpiper,UNITED STATES,Short - oval,White,Light yellow,Shallow - medium,Smooth,Pink,Intermediate,Short,Absent
265,Sante,-,Short - oval,Cream,Light yellow,Shallow - medium,Smooth,Pink,Early to intermediate,Medium,Absent
266,Saphire,NETHERLANDS,Short - oval,White,-,Shallow,-,Pink,Early Maincrop,-,-
267,Sarpo Gwyn,UNITED KINGDOM,Oval,White,Cream,Shallow,-,Pink,Very late,Tall,-
268,Sarpo Mira,UNITED KINGDOM,Oval - long,Red,White,Shallow - medium,Smooth,Pink,Very late,-,Few
269,Sarpo Shona,UNITED KINGDOM,Oval,White,Cream,Shallow - medium,-,Pink,Late,Medium,-
270,Sarpo Una,UNITED KINGDOM,Oval - long,Red,White,Very shallow - shallow,-,Pink,Early,Medium,-
271,Sassy,FRANCE,Oval,White,-,Shallow - medium,-,Blue,Maincrop,Medium,-
272,Saturna,UNITED KINGDOM,Short - oval,Cream,Medium yellow,Medium - deep,Medium,Pink,Intermediate,Medium,Many
273,Savanna,IRELAND,Oval,Cream,White,Shallow,Smooth,Pink,Maincrop,Medium,Few
274,Saxon,UNITED KINGDOM,Oval,White,Cream,Shallow,Smooth,Pink,Early,Short - medium,Absent
275,Scapa,-,Oval - long,Yellow,Deep yellow,Shallow - medium,-,Blue,Maincrop,-,-
276,Sebastian,UNITED KINGDOM,Oval - long,Red parti-coloured,Cream,Shallow - medium,Medium,Pink,Intermediate,Tall,Absent
277,Setanta,IRELAND,Oval,Red,Medium yellow,Shallow,Medium,Pink,Maincrop,Medium - tall,Medium
278,Shannon,IRELAND,Oval,Red,White,Shallow,Smooth,Pink,Intermediate to late,Medium - tall,Few
279,Sharpe's Express,-,Oval - long,White,Cream,Shallow,Smooth,Violet,First Early,Medium,Absent
280,Shelford,UNITED STATES,Short - oval,White,Medium yellow,Shallow - medium,Smooth,Pink,Intermediate,Medium,Absent
281,Shepody,CANADA,Long,Cream,Cream,Shallow - medium,Medium,Pink,Early,Tall,Absent
282,Sierra,UNITED KINGDOM,Short - oval,White,Cream,Shallow - medium,Smooth,Blue,Intermediate,Short - medium,Medium
283,Sifra,-,Oval,Yellow,Cream,-,Medium,-,Late Maincrop,-,-
284,Slaney,IRELAND,Oval,White,White,Shallow,Medium,Pink,Late,Medium,Few
285,Smile,-,Oval,Red parti-coloured,Cream,Shallow,Smooth,Pink,Second Early,Very short,Absent
286,Smith's Comet,-,Short - oval,White,Light yellow,Medium,Smooth,Pink,Early Maincrop,Medium,Few
287,Sofia,UNITED KINGDOM,-,-,-,-,-,-,Second Early,Short - medium,-
288,SORRENTO,-,-,Red parti-coloured,Cream,Shallow,-,Pink,Maincrop,-,-
289,Sparkle,UNITED KINGDOM,Short - oval,White,Medium yellow,Shallow,Smooth,Pink,Late,Tall,Absent
290,Spunta,-,Long,White,Light yellow,Shallow,Medium,Blue,Early,Tall,Absent
291,Stemster,UNITED KINGDOM,Oval - long,Red,Light yellow,Shallow,Medium,Pink,Intermediate,Medium - tall,Few
292,Strachan,UNITED KINGDOM,Oval,White,Medium yellow,Shallow,-,Blue,Early Maincrop,Medium,-
293,Stroma,UNITED KINGDOM,Oval - long,Red,Medium yellow,Very shallow,Smooth,Pink,Early,Short - medium,Few
294,Sunita,NETHERLANDS,Short - oval,Yellow,Medium yellow,Shallow,Smooth,-,Second Early,Medium,-
295,Sunray,UNITED KINGDOM,Oval - long,White,Light yellow,Very shallow,-,Pink,Late,Tall,-
296,Sunrise,UNITED KINGDOM,Short - oval,Red parti-coloured,Light yellow,Shallow - medium,Smooth,Pink,Early Maincrop,Tall,Few
297,Sunset,UNITED KINGDOM,Oval - long,Red,Medium yellow,Very shallow - shallow,Smooth,Pink,Very late,Very tall,Few
298,Swift,UNITED KINGDOM,Oval,Cream,Cream,Shallow,Smooth,Pink,Very early,Very short,Absent
299,Sylvana,UNITED KINGDOM,-,White,-,-,-,-,Early Maincrop,Medium,Medium
300,Tabitha,UNITED KINGDOM,Oval - long,White,Light yellow,Medium,-,Pink,Intermediate,Short - medium,-
301,Taurus,-,Short - oval,Yellow,Light yellow,Very shallow,-,-,-,-,-
302,Toluca,UNITED KINGDOM,-,White,-,-,-,Pink,Early Maincrop,Medium,-
303,Tresdale,UNITED KINGDOM,Oval,White,Cream,Very shallow - shallow,-,Pink,Early,Medium,Absent
304,Triplo,-,Oval,Yellow,Light yellow,-,Medium,-,Early Maincrop,-,Few
305,Trixie,UNITED KINGDOM,Long,Blue parti-coloured,Medium yellow,Shallow,-,Blue,Late,Tall,-
306,TX 15231,UNITED STATES,Oval,White,Light yellow,Shallow - medium,Smooth,Pink,Early,Medium,Few
307,Tyson,NETHERLANDS,Oval,Cream,Cream,Shallow,Smooth,-,Maincrop,Medium,-
308,Ulster Chieftain,-,Short - oval,White,White,Shallow,-,Blue,Very early to early,Short - medium,Absent
309,Ulster Prince,-,Oval - long,White,White,Shallow,Smooth,Blue,Early,Short - medium,Absent
310,Ulster Sceptre,-,Oval,White,Cream,Medium - deep,Smooth,Pink,Early,Short - medium,Few
312,Upmarket,UNITED KINGDOM,Short - oval,Red parti-coloured,Light yellow,Shallow - medium,-,Pink,Intermediate,Medium,-
311,Up-to-date,-,Oval,White,Cream,Shallow,Smooth,Pink,Maincrop,Tall,Absent
313,Vales Emerald,UNITED KINGDOM,Short - oval,White,Medium yellow,Shallow - medium,Smooth,Pink,Very early,Medium,Few
314,Vales Everest,UNITED KINGDOM,Short - oval,Red parti-coloured,Cream,Shallow - medium,Smooth,Pink,Late,Tall,Few
315,Vales Sovereign,UNITED KINGDOM,Oval - long,Red parti-coloured,Cream,Shallow - medium,Medium,Pink,Late,Medium,Absent
316,Valor,UNITED KINGDOM,Short - oval,White,Cream,Shallow,Smooth,Pink,Intermediate to late,Tall,Many
317,Vanessa,-,Oval,Red,Light yellow,Very shallow,Smooth,Pink,Very early,Short - medium,Many
318,Venezia,-,-,-,-,-,-,-,Second Early,-,-
319,Verity,UNITED KINGDOM,Oval,Red parti-coloured,Cream,Shallow,Smooth,Pink,Intermediate,Tall,Absent
320,Victoria,UNITED KINGDOM,Oval - long,Cream,Medium yellow,Shallow,Medium,Pink,Early to intermediate,Medium,Few
321,Violetta,GERMANY,Long,Blue,-,Shallow,-,Blue,Intermediate to late,Medium - tall,Medium
322,Virgo,UNITED KINGDOM,Oval - long,White,Cream,Shallow - medium,Medium,Pink,Maincrop,-,-
323,Vivaldi,UNITED KINGDOM,Oval,Cream,Light yellow,Shallow,Smooth,Pink,Intermediate,-,Absent
324,Vizelle,UNITED KINGDOM,Oval,Yellow,Medium yellow,Very shallow,-,Absent,Second Early,Short - medium,-
325,Volare,-,Short - oval,Yellow,Light yellow,Very shallow - shallow,-,-,Early Maincrop,-,-
326,VR808,-,Round,Yellow,Light yellow,Shallow,-,-,-,-,-
327,White Lady,HUNGARY,Short - oval,White,Cream,Shallow - medium,Medium,Pink,Intermediate,Medium,Absent
328,Wilja,NETHERLANDS,Oval - long,Yellow,Light yellow,Shallow,Rough,Pink,Early to intermediate,Medium,Few
329,Winston,UNITED KINGDOM,Short - oval,White,Cream,Shallow,Smooth,Pink,Very early,Short - medium,Absent
330,Wizard,UNITED KINGDOM,Short - oval,White,Cream,Shallow,-,Pink,Maincrop,Medium,-
331,Yukon Gold,CANADA,Short - oval,Red parti-coloured,Light yellow,Shallow,Smooth,Pink,Early to intermediate,Very tall,Absent
332,Zahov,-,Short - oval,White,Light yellow,Medium,-,Violet,Early to intermediate,Tall,Medium
333,Zohar,-,Oval - long,Yellow,Medium yellow,Shallow - medium,-,Absent,Early to intermediate,Short - medium,Many
